"institution_id","institution_name","country","country_code","latitude","longitude","type","qs_ranking_2024","region","research_output_score"
"I66752286","University of Milano-Bicocca","Italy","IT","45.46427154541016","9.189510345458984","education","100.0","Europe","100.0"
"I4210152629","Eastern University","Bangladesh","BD","23.742799758911133","90.38059997558594","education","","Asia","41.88"
"I60922564","Naver (South Korea)","South Korea","KR","37.36019515991211","127.10731506347656","company","100.0","Asia","100.0"
"I4210140949","Institute for Migration and Ethnic Studies","Croatia","HR","45.8144416809082","15.97797966003418","facility","","Europe","50.58"
"I4210134710","Ming Wai Lau Centre for Reparative Medicine","Hong Kong","HK","22.2783203125","114.17469024658205","facility","","Asia","7.73"
"I1293555014","Islamic Azad University of Tabriz","Iran","IR","38.08000183105469","46.291900634765625","education","100.0","Asia","100.0"
"I4210097309","Jiangxi Provincial Cancer Hospital","China","CN","28.675201416015625","115.95399475097656","healthcare","100.0","Asia","100.0"
"I4210138746","National Hospital of Pediatrics","Vietnam","VN","21.024585723876957","105.8084487915039","healthcare","100.0","Asia","100.0"
"I28185974","Maccabi Health Care Services","Israel","IL","32.104618072509766","35.18754959106445","healthcare","100.0","Asia","100.0"
"I186365177","Institute of Technology of Cambodia","Cambodia","KH","11.570561408996582","104.89827728271484","education","100.0","Asia","100.0"
"I152456871","University of Caldas","Colombia","CO","5.06889009475708","-75.51737976074219","education","100.0","South America","100.0"
"I97231232","Nelson Mandela African Institution of Science and Technology","Tanzania","TZ","-3.3666698932647705","36.68333053588867","education","100.0","Africa","100.0"
"I4210104845","First Affiliated Hospital of Hunan University of Traditional Chinese Medicine","China","CN","28.16558074951172","112.99456024169922","healthcare","100.0","Asia","100.0"
"I4210122302","ShangHai JiAi Genetics & IVF Institute","China","CN","31.211912155151367","121.48272705078124","healthcare","161.0","Asia","96.95"
"I185790649","Indian Veterinary Research Institute","India","IN","28.366779327392575","79.43167114257812","facility","100.0","Asia","100.0"
"I4210098582","ZTE (China)","China","CN","22.54553985595703","114.06829833984376","company","100.0","Asia","100.0"
"I4210153122","Delos Clinical","Spain","ES","37.38410949707031","-5.993302822113037","healthcare","","Europe","1.96"
"I70900168","Université Savoie Mont Blanc","France","FR","45.56628036499024","5.920790195465088","education","100.0","Europe","100.0"
"I20529979","University of Electro-Communications","Japan","JP","35.65583419799805","139.54417419433594","education","100.0","Asia","100.0"
"I82002896","Central University of Venezuela","Venezuela","VE","10.48801040649414","-66.87918853759766","education","100.0","South America","100.0"
"I96690311","Evotec (United States)","United States","US","37.665035247802734","-122.3853530883789","company","","North America","37.51"
"I2802444338","King Center","United States","US","33.749000549316406","-84.38797760009766","nonprofit","871.0","North America","73.74"
"I3121153395","West University of Timişoara","Romania","RO","45.753719329833984","21.225709915161133","education","100.0","Europe","100.0"
"I184647316","South Dakota School of Mines and Technology","United States","US","44.08053970336914","-103.23101043701172","education","100.0","North America","100.0"
"I6292670","Fatima Jinnah Women University","Pakistan","PK","33.59732818603516","73.04789733886719","education","100.0","Asia","100.0"
"I4210161322","École Supérieure du Commerce et des Affaires","Morocco","MA","33.593868255615234","-7.627627849578857","education","","Africa","18.11"
"I116528569","European University of Lefke","Turkey","TR","36.81195831298828","34.638858795166016","education","100.0","Asia","100.0"
"I342702707","National Institute of Food Technology Entrepreneurship and Management","India","IN","28.994779586791992","77.01937103271484","education","100.0","Asia","100.0"
"I4210145784","IBM Research - Ireland","Ireland","IE","53.3320426940918","-6.2315192222595215","facility","954.0","Europe","71.24"
"I4210144482","Shanghai Sixth People's Hospital","China","CN","31.177715301513672","121.42337036132812","healthcare","100.0","Asia","100.0"
"I4210165842","RIKEN Center for Advanced Photonics","Japan","JP","35.7894401550293","139.6233367919922","facility","100.0","Asia","100.0"
"I21193070","Beijing Jiaotong University","China","CN","39.907501220703125","116.39723205566406","education","100.0","Asia","100.0"
"I4210115377","VIB-KU Leuven Center for Microbiology","Belgium","BE","50.86638259887695","4.672924041748047","facility","100.0","Europe","100.0"
"I196349391","Universität Ulm","Germany","DE","48.39841079711914","9.99155044555664","education","100.0","Europe","100.0"
"I4210117337","Neijiang Normal University","China","CN","29.583539962768555","105.0621566772461","education","100.0","Asia","100.0"
"I3131729800","Kazi Nazrul University","India","IN","23.69491958618164","86.99481201171875","education","873.0","Asia","73.69"
"I2799807261","Tel Aviv Sourasky Medical Center","Israel","IL","32.08087921142578","34.78057098388672","healthcare","100.0","Asia","100.0"
"I4210109567","Office of Infectious Diseases","United States","US","33.798370361328125","-84.32723999023438","government","100.0","North America","100.0"
"I4210101762","Electronic Warfare Associates (United States)","United States","US","38.934757232666016","-77.42861938476562","company","","North America","2.89"
"I4400600451","Honeywell Federal Manufacturing and Technologies (United States)","United States","US","39.0997314453125","-94.5785675048828","company","34.0","North America","8.48"
"I172825728","German Meteorological Service","Germany","DE","50.10332107543945","8.74760627746582","facility","100.0","Europe","100.0"
"I66531908","Mathematica Policy Research","United States","US","40.34872055053711","-74.65904998779297","facility","100.0","North America","100.0"
"I4210107186","Hamedan University of Technology","Iran","IR","34.78628158569336","48.48852157592773","education","100.0","Asia","100.0"
"I4210106793","Cotton Research Institute","China","CN","39.907501220703125","116.39723205566406","facility","100.0","Asia","100.0"
"I59781447","Inter-University Centre for Astronomy and Astrophysics","India","IN","18.519569396972656","73.8553466796875","facility","100.0","Asia","100.0"
"I119856527","Cadi Ayyad University","Morocco","MA","31.63415908813477","-7.999939918518066","education","100.0","Africa","100.0"
"I4210112114","Royal HaskoningDHV (Netherlands)","Netherlands","NL","52.13315582275391","5.366708278656006","company","","Europe","33.12"
"I103356709","Obuda University","Hungary","HU","47.498348236083984","19.04044914245605","education","100.0","Europe","100.0"
"I1320404931","C. U. Shah University","India","IN","22.748455047607425","71.70207977294922","education","","Asia","48.5"
"I103163165","Florida State University","United States","US","30.43825912475586","-84.28073120117188","education","100.0","North America","100.0"
"I140717209","Indian Institute of Astrophysics","India","IN","12.97194004058838","77.59368896484375","facility","100.0","Asia","100.0"
"I240666556","Imam Mohammad ibn Saud Islamic University","Saudi Arabia","SA","24.68773078918457","46.72185134887695","education","100.0","Asia","100.0"
"I4210093981","Agricultural Information Institute","China","CN","39.95816421508789","116.3275375366211","facility","100.0","Asia","100.0"
"I686019","AGH University of Krakow","Poland","PL","50.061431884765625","19.936580657958984","education","100.0","Europe","100.0"
"I149137203","Guiyang Medical University","China","CN","26.583330154418945","106.71666717529295","education","100.0","Asia","100.0"
"I4210155185","Intel (Poland)","Poland","PL","54.38082885742188","18.48434257507324","company","","Europe","6.58"
"I4210162646","Bioethics International","United States","US","42.37838363647461","-71.14801788330078","nonprofit","","North America","20.99"
"I913481162","Wageningen University & Research","Netherlands","NL","51.970001220703125","5.666669845581055","education","100.0","Europe","100.0"
"I160968435","University of Sargodha","Pakistan","PK","32.074371337890625","72.68379974365234","education","100.0","Asia","100.0"
"I2799798094","UCLA Health","United States","US","34.05223083496094","-118.24368286132812","other","9.0","North America","100.0"
"I32923980","Xilinx (United States)","United States","US","37.33938980102539","-121.89495849609376","company","100.0","North America","100.0"
"I184597095","National Institute of Informatics","Japan","JP","35.68949890136719","139.69171142578125","facility","100.0","Asia","100.0"
"I4210098460","Shanghai University of Traditional Chinese Medicine","China","CN","31.22221946716309","121.45806121826172","education","100.0","Asia","100.0"
"I43369023","California State University, San Bernardino","United States","US","34.108341217041016","-117.2897720336914","education","100.0","North America","100.0"
"I135714990","North University of China","China","CN","38.01193618774414","112.44290161132812","education","100.0","Asia","100.0"
"I2801317318","Hospital for Sick Children","Canada","CA","43.65773010253906","-79.3869857788086","healthcare","100.0","North America","100.0"
"I45998257","Sohar University","Oman","OM","24.347450256347656","56.70936965942383","education","100.0","Asia","100.0"
"I90610274","University of Engineering and Technology Peshawar","Pakistan","PK","34.007999420166016","71.5784912109375","education","100.0","Asia","100.0"
"I35601441","Osun State University","Nigeria","NG","7.762731075286865","4.601260185241699","education","100.0","Africa","100.0"
"I2800437794","Federal University Lafia","Nigeria","NG","8.505677223205566","8.522515296936035","education","100.0","Africa","100.0"
"I2801686373","Critical Path Institute","United States","US","32.28718948364258","-110.94598388671876","nonprofit","157.0","North America","97.12"
"I72951846","Washington State University","United States","US","46.73126983642578","-117.17961883544922","education","100.0","North America","100.0"
"I195939026","Glasgow Caledonian University","United Kingdom","GB","55.86515045166016","-4.257629871368408","education","100.0","Europe","100.0"
"I4210101868","Institute for System Programming","Russia","RU","55.74454879760742","37.66041946411133","facility","767.0","Europe","76.89"
